Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3580754,,0,613.47,2,5.02,8,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3[nH]c(=O)cc(O)c3c2)c(Cl)[nH]1,Ki,'=',0.18,nM,9.74,,,UO_0000065,15.88,0.31,4.72,6.31,FALSE,CHEMBL3584521,Inhibition of human coagulation factor 11a using p-nitroaniline as substrate assessed as substrate hydrolysis by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3580601,1,Scientific Literature,ACS Med. Chem. Lett.,2015,None,
CHEMBL3580752,,0,595.06,1,4.59,6,Cc1ccc(-n2cnnn2)c(CCC(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4[nH]c(=O)cc(O)c4c3)c(Cl)[nH]2)c1,Ki,'=',0.5,nM,9.3,,,UO_0000065,15.63,0.3,4.71,6.02,FALSE,CHEMBL3584521,Inhibition of human coagulation factor 11a using p-nitroaniline as substrate assessed as substrate hydrolysis by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3580601,1,Scientific Literature,ACS Med. Chem. Lett.,2015,None,
CHEMBL3580665,,0,599.48,2,5.36,4,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3c(c2)CCC(=O)N3)c(Cl)[nH]1,Ki,'=',19,nM,7.72,,,UO_0000065,12.88,0.25,2.36,5.92,FALSE,CHEMBL3584521,Inhibition of human coagulation factor 11a using p-nitroaniline as substrate assessed as substrate hydrolysis by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3580601,1,Scientific Literature,ACS Med. Chem. Lett.,2015,None,
CHEMBL4067274,,0,639.08,1,4.28,13,COC(=O)Nc1ccc2c(c1)NC(=O)CCc1cccc(n1)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,Ki,'=',0.32,nM,9.49,,,UO_0000065,14.86,0.28,5.21,5.23,FALSE,CHEMBL4045381,Inhibition of human F11a using peptide substrate by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4043146,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,
CHEMBL3754781,,0,558,1,2.56,27,O=C(N[C@@H](Cc1ccccc1)C(=O)NCCc1cc(Cl)ccc1-n1cnnn1)c1ccc2[nH]c(=O)cc(O)c2c1,Ki,'=',1.6,nM,8.8,,,UO_0000065,15.76,0.3,6.24,5.68,FALSE,CHEMBL3756134,Inhibition of human coagulation factor 11a assessed as substrate hydrolysis to p-nitroaniline incubated for 10 to 120 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3751839,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL3355689,,0,402.54,0,4.24,33,NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2c[nH]c(-c3ccccc3)n2)CC1,Ki,'=',1640,nM,5.79,,,UO_0000065,14.37,0.26,1.55,6.9,FALSE,CHEMBL3377177,Inhibition of human coagulation factor 11a using p-nitroaniline as substrate assessed as substrate hydrolysis by spectrophotometrically,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3351269,1,Scientific Literature,J. Med. Chem.,2014,None,
CHEMBL3754069,,0,516.95,1,3.39,6,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(C(=O)O)cc1,Ki,'=',2,nM,8.7,,,UO_0000065,16.83,0.32,5.31,6.25,FALSE,CHEMBL3756134,Inhibition of human coagulation factor 11a assessed as substrate hydrolysis to p-nitroaniline incubated for 10 to 120 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3751839,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL3753020,,0,540.98,1,2.88,12,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1,Ki,'=',1.4,nM,8.85,,,UO_0000065,16.37,0.31,5.97,5.67,FALSE,CHEMBL3756134,Inhibition of human coagulation factor 11a assessed as substrate hydrolysis to p-nitroaniline incubated for 10 to 120 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3751839,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL3735080,,0,1228.42,None,None,mupain-1-16,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC2CCN(C(=N)N)CC2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O,Ki,'=',2560,nM,5.59,,,UO_0000065,4.55,None,None,None,FALSE,CHEMBL3739091,Inhibition of human coagulation factor 11a after 15 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3734702,1,Scientific Literature,J. Med. Chem.,2015,None,
CHEMBL3735263,,0,1260.56,None,None,peptide10,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC2CCN(C(=N)N)CC2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,Ki,'=',6630,nM,5.18,,,UO_0000065,4.11,None,None,None,FALSE,CHEMBL3739091,Inhibition of human coagulation factor 11a after 15 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3734702,1,Scientific Literature,J. Med. Chem.,2015,None,
CHEMBL506502,,0,576.63,2,-1.1,12d,C[C@@H](O)[C@H](NS(=O)(=O)Cc1cccc(C(=O)O)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccc(C(=N)N)cc1,Ki,'=',259,nM,6.59,,,UO_0000065,11.42,0.22,7.69,2.58,FALSE,CHEMBL1005617,Inhibition of human factor 11a,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL1156606,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL4103982,,0,618.1,2,5.15,22,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C(C)C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,Ki,'=',0.14,nM,9.85,,,UO_0000065,15.94,0.31,4.7,5.84,FALSE,CHEMBL4056973,Inhibition of human Factor XIa using S-2366 as chromogenic substrate after 60 mins by Lineweaver-Burk plot analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4052741,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,
CHEMBL3754262,,0,515.96,1,2.79,8,NC(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1,Ki,'=',17.5,nM,7.76,,,UO_0000065,15.03,0.29,4.97,5.35,FALSE,CHEMBL3756134,Inhibition of human coagulation factor 11a assessed as substrate hydrolysis to p-nitroaniline incubated for 10 to 120 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3751839,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL3752951,,0,539,1,4.09,14,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2ncc[nH]2)cc1,Ki,'=',5.5,nM,8.26,,,UO_0000065,15.32,0.29,4.17,6.33,FALSE,CHEMBL3756134,Inhibition of human coagulation factor 11a assessed as substrate hydrolysis to p-nitroaniline incubated for 10 to 120 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3751839,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL3754443,,0,593.04,2,5.06,20,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)Nc1ccc(C(=O)O)cc1,Ki,'=',11.5,nM,7.94,,,UO_0000065,13.39,0.25,2.88,5.71,FALSE,CHEMBL3756134,Inhibition of human coagulation factor 11a assessed as substrate hydrolysis to p-nitroaniline incubated for 10 to 120 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3751839,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL392297,,0,535.05,1,2.11,42,CCS(=O)(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,Ki,'=',6680,nM,5.17,,,UO_0000065,9.67,0.2,3.07,4.4,FALSE,CHEMBL897887,Inhibition of human factor 11a,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL1149671,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL394129,,0,484.97,0,2.31,29,CC(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,Ki,'=',10170,nM,4.99,,,UO_0000065,10.29,0.21,2.68,4.97,FALSE,CHEMBL897887,Inhibition of human factor 11a,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL1149671,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL3663896,,0,632.05,1,2.91,BDBM170423,CNC(=O)c1ccc(-c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)C3C(=O)NCC(=O)OC)cc1,Ki,'=',341.9,nM,6.47,,314381,UO_0000065,10.23,0.2,3.56,4.36,FALSE,CHEMBL3705835,"In Vitro Assay: The effectiveness of compounds of the present invention as inhibitors of the coagulation factors XIa, VIIa, IXa, Xa, XIIa, plasma kallikrein or thrombin, can be determined using a relevant purified serine protease, respectively, and an appropriate synthetic substrate. The rate of hydrolysis of the chromogenic or fluorogenic substrate by the relevant serine protease was measured both in the absence and presence of compounds of the present invention. Hydrolysis of the substrate resulted in the release of pNA (para nitroaniline), which was monitored spectrophotometrically by measuring the increase in absorbance at 405 nm, or the release of AMC (amino methylcoumarin), which was monitored spectrofluorometrically by measuring the increase in emission at 460 nm with excitation at 380 nm. A decrease in the rate of absorbance or fluorescence change in the presence of inhibitor is indicative of enzyme inhibition. Such methods are known to one skilled in the art.",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3639111,37,BindingDB Database,,2015,None,
CHEMBL3663897,,0,616.1,1,4.54,BDBM170424,CC[C@H](C)NC(=O)C1c2cccc(-c3ccc(C(=O)NC)cc3)c2CCN1C(=O)/C=C/c1c(-n2cnnn2)ccc(Cl)c1F,Ki,'=',49.16,nM,7.31,,314382,UO_0000065,11.86,0.23,2.77,5.99,FALSE,CHEMBL3705835,"In Vitro Assay: The effectiveness of compounds of the present invention as inhibitors of the coagulation factors XIa, VIIa, IXa, Xa, XIIa, plasma kallikrein or thrombin, can be determined using a relevant purified serine protease, respectively, and an appropriate synthetic substrate. The rate of hydrolysis of the chromogenic or fluorogenic substrate by the relevant serine protease was measured both in the absence and presence of compounds of the present invention. Hydrolysis of the substrate resulted in the release of pNA (para nitroaniline), which was monitored spectrophotometrically by measuring the increase in absorbance at 405 nm, or the release of AMC (amino methylcoumarin), which was monitored spectrofluorometrically by measuring the increase in emission at 460 nm with excitation at 380 nm. A decrease in the rate of absorbance or fluorescence change in the presence of inhibitor is indicative of enzyme inhibition. Such methods are known to one skilled in the art.",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3639111,37,BindingDB Database,,2015,None,
CHEMBL3663898,,0,654.11,1,3.67,BDBM170425,CNC(=O)c1ccc(-c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)C3C(=O)NCc2nccn2C)cc1,Ki,'=',533.9,nM,6.27,,314383,UO_0000065,9.59,0.18,2.6,4.48,FALSE,CHEMBL3705835,"In Vitro Assay: The effectiveness of compounds of the present invention as inhibitors of the coagulation factors XIa, VIIa, IXa, Xa, XIIa, plasma kallikrein or thrombin, can be determined using a relevant purified serine protease, respectively, and an appropriate synthetic substrate. The rate of hydrolysis of the chromogenic or fluorogenic substrate by the relevant serine protease was measured both in the absence and presence of compounds of the present invention. Hydrolysis of the substrate resulted in the release of pNA (para nitroaniline), which was monitored spectrophotometrically by measuring the increase in absorbance at 405 nm, or the release of AMC (amino methylcoumarin), which was monitored spectrofluorometrically by measuring the increase in emission at 460 nm with excitation at 380 nm. A decrease in the rate of absorbance or fluorescence change in the presence of inhibitor is indicative of enzyme inhibition. Such methods are known to one skilled in the art.",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3639111,37,BindingDB Database,,2015,None,
CHEMBL3923433,,0,560.7,1,3.84,BDBM222994,COC1CCN(c2cccc3c2CCN(C(=O)C2CC4(CCNCC4)C2)C3C(=O)Nc2ccc(C(=O)O)cc2)CC1,Ki,'=',190,nM,6.72,,389799,UO_0000065,11.99,0.22,2.88,6.04,FALSE,CHEMBL3888323,"In Vitro Assay: Factor XIa determinations were made in 50 mM HEPES buffer at pH 7.4 containing 145 mM NaCl, 5 mM KCl, and 0.1% PEG 8000 (polyethylene glycol; JT Baker or Fisher Scientific). Determinations were made using purified human Factor XIa at a final concentration of 75-200 pM (Haematologic Technologies) and the synthetic substrate S-2366 (pyroGlu-Pro-Arg-pNA; CHROMOGENIX® or AnaSpec) at a concentration of 0.0002-0.001 M.",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3886658,37,BindingDB Database,,2016,None,
CHEMBL4115014,,0,660.01,2,6.16,BDBM247416,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,Ki,'=',0.1,nM,10,,431689,UO_0000065,15.15,0.3,3.84,7.97,FALSE,CHEMBL3889078,"In Vitro Assay: Factor XIa determinations were made in 50 mM HEPES buffer at pH 7.4 containing 145 mM NaCl, 5 mM KCl, and 0.1% PEG 8000 (polyethylene glycol; JT Baker or Fisher Scientific). Determinations were made using purified human Factor XIa at a final concentration of 25-200 pM (Haematologic Technologies) and the synthetic substrate S-2366 (pyroGlu-Pro-Arg-pNA; CHROMOGENIX® or AnaSpec) at a concentration of 0.0002-0.001 M.",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3886936,37,BindingDB Database,,2016,None,
CHEMBL4113006,,0,624.03,2,5.31,BDBM247417,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2ccnc(c2)-c2c(cnn2C)NC1=O,Ki,'=',0.1,nM,10,,431690,UO_0000065,16.02,0.31,4.69,7.97,FALSE,CHEMBL3889078,"In Vitro Assay: Factor XIa determinations were made in 50 mM HEPES buffer at pH 7.4 containing 145 mM NaCl, 5 mM KCl, and 0.1% PEG 8000 (polyethylene glycol; JT Baker or Fisher Scientific). Determinations were made using purified human Factor XIa at a final concentration of 25-200 pM (Haematologic Technologies) and the synthetic substrate S-2366 (pyroGlu-Pro-Arg-pNA; CHROMOGENIX® or AnaSpec) at a concentration of 0.0002-0.001 M.",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3886936,37,BindingDB Database,,2016,None,
CHEMBL3781553,,0,472.59,0,4.19,()-13,NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc(N)c(C(=O)O)c3)ccn2)CC1,Ki,'=',5.3,nM,8.28,,,UO_0000065,17.51,0.32,4.09,6.3,FALSE,CHEMBL3784478,Competitive inhibition of human coagulation factor 11a assessed as reduction in release of p-nitroaniline after 10 to 120 mins by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3779805,1,Scientific Literature,Bioorg. Med. Chem.,2016,None,
CHEMBL3780189,,0,469.59,0,4.5,()-10,NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc4[nH]nc(O)c4c3)ccn2)CC1,Ki,'=',7.5,nM,8.12,,,UO_0000065,17.3,0.32,3.62,6.95,FALSE,CHEMBL3784478,Competitive inhibition of human coagulation factor 11a assessed as reduction in release of p-nitroaniline after 10 to 120 mins by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3779805,1,Scientific Literature,Bioorg. Med. Chem.,2016,None,
CHEMBL3780922,,0,469.59,0,4.64,(S)-5,NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2cc(-c3ccc4c(N)noc4c3)ccn2)CC1,Ki,'=',3.8,nM,8.42,,,UO_0000065,17.93,0.33,3.78,7.01,FALSE,CHEMBL3784478,Competitive inhibition of human coagulation factor 11a assessed as reduction in release of p-nitroaniline after 10 to 120 mins by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3779805,1,Scientific Literature,Bioorg. Med. Chem.,2016,None,
